NUMMER,PLAATS,AFWIJKING,AFLEZING,MAAIVELD,STIJGBUIS,OPMERKINGEN,JAARNR,WEEKNR,DDMUTATIE,STATUS
"7,025",Axelhoeve 10,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,022",Barneveldhoeve 4,,1,-2,-2,achterzijde parkeerplaats,"2,017",27,04/07/2017,v
"7,023",Ruurlohoeve 12,,0,-2,-2,parkeerplaats,"2,017",27,04/07/2017,v
"7,021",Gelderlandlaan 34,,0,-2,-2,,"2,017",27,04/07/2017,v
"7,005",Elzendreef 1,,1,-3,-2,,"2,017",27,04/07/2017,v
"7,019",Malusdreef 8,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,020",Esdoorndreef 22,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,018",Acaciadreef 36,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,009",Kornoeljedreef  73,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,011",Lariksdreef 27,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,012",Lariksdreef 42,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,010",Lariksdreef 28,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,017",Cederdreef 2,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,016",Cederdreef 35,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,015",Kastanjedreef 24,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,014",Cipressendreef 1,,1,-2,-2,doorgang naast woning,"2,017",27,04/07/2017,v
"7,013",Cipressendreef 29,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,003",Platanendreef 166,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,008",Platanendreef 2,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,006",Hazelaardreef 17,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,007",Lindendreef 81,,1,-2,-2,,"2,017",27,04/07/2017,v
"7,001",Fluitekruid 67/74,,1,2,-2,achterzijde parkeerplaats,"2,017",27,04/07/2017,v
"7,004",Robert Schumanring,,1,-2,-2,,"2,017",27,04/07/2017,v
"6,006",Louise de Colignylaan 74,,1,-2,-2,trottoir overzijde,"2,017",27,04/07/2017,v
"6,008",Willem Lodewijklaan,,1,-2,-2,,"2,017",27,04/07/2017,v
"6,010",Baronielaan 5,,1,-2,-2,,"2,017",27,04/07/2017,v
"6,009",Pr. Beatrixlaan 9/11,,0,-2,-2,trottoir zijkant woning,"2,017",27,04/07/2017,v
"1,010",Struyckstraat 2,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,006",Jacob v.d. Wintstraat 2,,1,-2,-2,achterzijde,"2,017",27,04/07/2017,v
"1,003",Groeneweg (terr. gemaal),,1,-2,-2,,"2,017",27,04/07/2017,v
"1,024",Markgraaflaan 6,,1,-2,-2,,"2,017",27,04/07/2017,v
"1,025",Groeneweg  32,,1,-2,-2,trottoir overzijde,"2,017",27,04/07/2017,v
"1,026",Burg Pruissingel 56,,0,-2,-2,,"2,017",27,04/07/2017,v
"1,023",HR Holststraat 19,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,022",Vondelstraat/Brederostraat 25,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,021",Vondelstraat/Huijgenstraat,,1,-1,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"1,013",Billitonlaan,,2,-1,-1,,"2,017",27,04/07/2017,v
"1,040",Riouwlaan 74,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,001",Floreslaan/Broekweg 154,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,035",Van Heutzpark 22,,1,-1,-1,rijbaan,"2,017",27,04/07/2017,v
"1,034",Van Heutzpark 29,,1,-1,-1,trottoir,"2,017",27,04/07/2017,v
"1,038",Van Heutzpark 44,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,037",Van Heutzpark 6,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,036",Van Heutzpark 10,,1,0,-1,,"2,017",27,04/07/2017,v
"1,039",Van Heutzpark 1,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,033",Curacaolaan 194,,1,-1,-1,fietspad,"2,017",27,04/07/2017,v
"1,004",Mendelssohnplein,,1,0,0,,"2,017",27,04/07/2017,v
"1,008",Richard Holstr. 63 (Pompput),,1,-1,-1,,"2,017",27,04/07/2017,v
"3,018",Mozartlaan,,1,-1,-1,,"2,017",27,04/07/2017,v
"3,019",Orelioplantsoen,,1,0,0,,"2,017",27,04/07/2017,v
"3,020",Mendelsohnplein (oost),,2,0,0,maaiveld hoogte aangepast,"2,017",27,04/07/2017,v
"3,022",Sweelinckstraat,,2,0,,,"2,017",27,04/07/2017,v
"3,023",Verheystraat,,2,0,,,"2,017",27,04/07/2017,v
"3,024",van Beethovensingel,,2,2,2,,"2,017",27,04/07/2017,v
"3,003",PKD-straat 1,,1,0,0,,"2,017",27,04/07/2017,v
"3,004",PKD-straat 67,,1,0,0,,"2,017",27,04/07/2017,v
"3,005",PKD-straat 199,,1,0,0,,"2,017",27,04/07/2017,v
"3,006",Pr. Hendrikstraat 124,,1,1,1,,"2,017",27,04/07/2017,v
"3,007",Pr. Hendrikstraat 34,,1,1,1,,"2,017",27,04/07/2017,v
"3,008",Pr. Hendrikstraat 2,,1,1,1,,"2,017",27,04/07/2017,v
"3,001",Galgkade,,1,3,3,gemaal,"2,017",27,04/07/2017,v
"3,012",Mercuriusstraat 15c,,1,0,0,,"2,017",27,04/07/2017,v
"3,013",Edisonstraat 7,,1,-1,-1,in trottoir,"2,017",27,04/07/2017,v
"3,017",James Wattweg (zuid),,1,0,-1,,"2,017",27,04/07/2017,v
"3,009",Maassluissedijk PB1,,2,4,4,,"2,017",27,04/07/2017,v
"3,010",Maassluissedijk PB2,,5,4,4,,"2,017",27,04/07/2017,v
"3,011",Maassluissedijk PB Oud,,3,4,5,,"2,017",27,04/07/2017,v
"3,002",Hoekerstraat 11,,0,4,4,,"2,017",27,04/07/2017,v
"2,010",Sam. Esmeijerstraat 89b,,1,-2,-2,in bosjes,"2,017",27,04/07/2017,v
"2,012",Mr. Verschuurstraat,,1,-2,-1,fietspad naar Marathonweg,"2,017",27,04/07/2017,v
"2,022",Drs. Stijkelstraat 60, ,1,-2,-1,,"2,017",27,04/07/2017,v
"2,007",Prof. Rutgersstraat,,1,-1,-2,,"2,017",27,04/07/2017,v
"2,005",Coornhertstraat,,0,-2,-1,,"2,017",27,04/07/2017,v
"2,019",vossiusstraat,,1,-2,-2,garage to 190,"2,017",27,04/07/2017,v
"2,020",vossiusstraat naast 20,,1,-2,-2,,"2,017",27,04/07/2017,v
"2,021",van baerlestraat,,1,-2,-2,garage to 172,"2,017",27,04/07/2017,v
"2,004",Roemer Visscherstraat,,1,-2,-2,,"2,017",27,04/07/2017,v
"2,016",Frank v Borsselenstraat,,1,-1,-1,voor trap,"2,017",27,04/07/2017,v
"2,013",Boerhaavestraat.,,1,-2,-1,TNO,"2,017",27,04/07/2017,v
"2,003",s-Gravensandestraat 12,,1,-2,-2,,"2,017",27,04/07/2017,v
"2,001",Musschenbroekstraat 12,,1,-2,-2,,"2,017",27,04/07/2017,v
"2,002",Meijerstraat 16,,1,-1,-1,,"2,017",27,04/07/2017,v
"2,014",Van Boisotstraat,,1,-2,-2,,"2,017",27,04/07/2017,v
"2,015",Claudius Civiluslaan 33,,1,-1,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"2,006",Rondom West,,1,-1,-1,,"2,017",27,04/07/2017,v
"5,006",Goudenregenstraat 18,,1,-1,-1,parkeerplaats t/o nr. 18,"2,017",27,04/07/2017,v
"5,004",vd Duijn V Maasdamlaan,,0,-2,-2,parkeerplaats naast hoge flat,"2,017",27,04/07/2017,v
"5,001",Hargapad Noord,,1,-1,-1,,"2,017",27,04/07/2017,v
"5,013",vd Duijnstraat 15,,0,-1,-1,,"2,017",27,04/07/2017,v
"5,003",Narcisplein 10,,1,-1,-1,overzijde in plantsoen,"2,017",27,04/07/2017,v
"5,008",Nachtegaallaan 9,,2,-1,-1,parkeerplaats midden straat,"2,017",27,04/07/2017,v
"1,027",Havenstraat 14a,,1,2,2,,"2,017",27,04/07/2017,v
"1,028",Havenstraat 46,,1,2,2,,"2,017",27,04/07/2017,v
"1,029",Havenstraat 76,,1,2,2,,"2,017",27,04/07/2017,v
"4,007",Ida Maria de Raathstraat,,1,1,1,zijkant 16a/20a,"2,017",27,04/07/2017,v
"4,006",Emmastraat 22,,1,0,0,zijkant pand,"2,017",27,04/07/2017,v
"4,026",Hofsingel 14,,1,0,0,,"2,017",27,04/07/2017,v
"4,027",Hofsingel 50,,1,0,0,,"2,017",27,04/07/2017,v
"4,023",Oranjepark 010,,1,0,0,,"2,017",27,04/07/2017,v
"4,010",Parkweg,,1,0,0,hoek Beukestraat,"2,017",27,04/07/2017,v
"4,029",Binnensingel 1,,1,0,0,,"2,017",27,04/07/2017,v
"4,030",Hogelaan 22,,2,0,0,,"2,017",27,04/07/2017,v
"4,031",Eikestraat,,1,0,0,naast Emmaplein 1,"2,017",27,04/07/2017,v
"4,032",Emmaplein t.o. 17,,2,0,0,trottoir zuidzijde,"2,017",27,04/07/2017,v
"4,009",Schiedamseweg 111,,1,0,0,,"2,017",27,04/07/2017,v
"4,001",Verploegh Chasseplein 7,,1,0,0,zijkant pand,"2,017",27,04/07/2017,v
"4,033",Schiedamseweg 96,,1,0,0,trottoir zuidzijde,"2,017",27,04/07/2017,v
"4,034",Schiedamseweg 120,,1,0,0,trottoir zuidzijde,"2,017",27,04/07/2017,v
"4,002",Boslaan 1,,1,0,0,Spoorsingel 107,"2,017",27,04/07/2017,v
"4,003",Binnensingel 205,,1,1,1,groenstook,"2,017",27,04/07/2017,v
"4,013",Spoorsingel,,2,0,1,TNO,"2,017",27,04/07/2017,v
"4,004",1e Van Leijden Gaelstraat 19,,2,0,1,zijkant pand,"2,017",27,04/07/2017,v
"4,012",Merwedehof 13,,1,0,0,,"2,017",27,04/07/2017,v
"1,020",Marisstraat 12,,1,0,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"1,018",Rembrandtstraat 15,,1,-1,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"1,017",Groen v Prinstererstraat 78,,0,0,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"1,016",Broekweg 29,,1,-1,-1,,"2,017",27,04/07/2017,v
"1,019",van der Driftstraat 47,,1,-1,-1,zijkant pand,"2,017",27,04/07/2017,v
"1,032",Schoutplein (midden),,0,0,0,ondiep,"2,017",27,04/07/2017,v
"1,012",Schoutplein 11,,0,-1,-1,diep (verlengd),"2,017",27,04/07/2017,v
"1,031",Baljuwstraat 1,,1,0,-1,trottoir overzijde,"2,017",27,04/07/2017,v
"1,011",Schoolstraat 41,,0,0,-1,,"2,017",27,04/07/2017,v
"1,041",Veerplein 35a,,1,0,0,tegenover 35a - 95a,"2,017",27,04/07/2017,v
"1,042",Veerplein 29,,1,,,tegenover 29,"2,017",27,04/07/2017,v
"1,043",Veerplein 33,,1,0,0,tegenover 33,"2,017",27,04/07/2017,v
"1,044",Veerplein 132a,,1,0,0,tegenover 132a,"2,017",27,04/07/2017,v
"1,045",Veerplein 134a,,1,0,0,tegenover 134a,"2,017",27,04/07/2017,v
"1,046",Veerplein hema,,1,,,ingang hema,"2,017",27,04/07/2017,v
"1,051",Waalstraat,,1,0,,Stadhuis,"2,017",27,04/07/2017,v
"1,052",Waalstraat 63,,1,0,0,op de hoek,"2,017",27,04/07/2017,v
"1,053",Broekweg 140,,1,-1,1,tegenover 140 en 97,"2,017",27,04/07/2017,v
"1,054",Broekweg midden,,1,-1,-1,midden op plein,"2,017",27,04/07/2017,v
"1,055",Broekweg cafe,,1,-1,-1,naast Cafe,"2,017",27,04/07/2017,v
"1,056",Broekweg 74,,1,-1,-1,tegenover 74 en 76,"2,017",27,04/07/2017,v
"3,004",PKD-straat 67,,1,0,0,,"2,017",24,15/06/2017,v
"3,005",PKD-straat 199,,1,0,0,,"2,017",24,15/06/2017,v
"3,006",Pr. Hendrikstraat 124,,1,1,1,,"2,017",24,15/06/2017,v
"3,007",Pr. Hendrikstraat 34,,1,1,1,,"2,017",24,15/06/2017,v
"3,008",Pr. Hendrikstraat 2,,1,1,1,,"2,017",24,15/06/2017,v
"3,001",Galgkade,,2,3,3,gemaal,"2,017",24,15/06/2017,v
"3,012",Mercuriusstraat 15c,,2,0,0,,"2,017",24,15/06/2017,v
"3,013",Edisonstraat 7,,1,-1,-1,in trottoir,"2,017",24,15/06/2017,v
"3,017",James Wattweg (zuid),,1,0,-1,,"2,017",24,15/06/2017,v
"3,009",Maassluissedijk PB1,,2,4,4,,"2,017",24,15/06/2017,v
"3,010",Maassluissedijk PB2,,5,4,4,,"2,017",24,15/06/2017,v
"3,011",Maassluissedijk PB Oud,,3,4,5,,"2,017",24,15/06/2017,v
"3,002",Hoekerstraat 11,stelconplaten op,,4,4,,"2,017",24,15/06/2017,v
"2,010",Sam. Esmeijerstraat 89b,,1,-2,-2,in bosjes,"2,017",24,15/06/2017,v
"2,012",Mr. Verschuurstraat,,2,-2,-1,fietspad naar Marathonweg,"2,017",24,15/06/2017,v
"1,027",Havenstraat 14a,,1,2,2,,"2,017",24,15/06/2017,v
"1,028",Havenstraat 46,,1,2,2,,"2,017",24,15/06/2017,v
"1,029",Havenstraat 76,,1,2,2,,"2,017",24,15/06/2017,v
"4,007",Ida Maria de Raathstraat,,1,1,1,zijkant 16a/20a,"2,017",24,15/06/2017,v
"7,025",Axelhoeve 10,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,022",Barneveldhoeve 4,,1,-2,-2,achterzijde parkeerplaats,"2,017",24,15/06/2017,v
"7,023",Ruurlohoeve 12,,1,-2,-2,parkeerplaats,"2,017",24,15/06/2017,v
"7,021",Gelderlandlaan 34,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,005",Elzendreef 1,,1,-3,-2,,"2,017",24,15/06/2017,v
"7,019",Malusdreef 8,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,020",Esdoorndreef 22,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,018",Acaciadreef 36,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,009",Kornoeljedreef  73,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,011",Lariksdreef 27,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,012",Lariksdreef 42,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,010",Lariksdreef 28,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,017",Cederdreef 2,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,016",Cederdreef 35,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,015",Kastanjedreef 24,,1,-2,-2,,"2,017",24,15/06/2017,v
"1,020",Marisstraat 12,vervallen,,0,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"1,018",Rembrandtstraat 15,,1,-1,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"1,017",Groen v Prinstererstraat 78,,1,0,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"1,016",Broekweg 29,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,019",van der Driftstraat 47,,1,-1,-1,zijkant pand,"2,017",24,15/06/2017,v
"1,032",Schoutplein (midden),,1,0,0,ondiep,"2,017",24,15/06/2017,v
"1,012",Schoutplein 11,,0,-1,-1,diep (verlengd),"2,017",24,15/06/2017,v
"1,031",Baljuwstraat 1,,1,0,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"1,011",Schoolstraat 41,,0,0,-1,,"2,017",24,15/06/2017,v
"1,041",Veerplein 35a,,1,0,0,tegenover 35a - 95a,"2,017",24,15/06/2017,v
"1,042",Veerplein 29,,1,,,tegenover 29,"2,017",24,15/06/2017,v
"1,043",Veerplein 33,,1,0,0,tegenover 33,"2,017",24,15/06/2017,v
"1,044",Veerplein 132a,,1,0,0,tegenover 132a,"2,017",24,15/06/2017,v
"1,045",Veerplein 134a,,1,0,0,tegenover 134a,"2,017",24,15/06/2017,v
"1,046",Veerplein hema,,1,,,ingang hema,"2,017",24,15/06/2017,v
"1,051",Waalstraat,,1,0,,Stadhuis,"2,017",24,15/06/2017,v
"1,052",Waalstraat 63,,2,0,0,op de hoek,"2,017",24,15/06/2017,v
"1,053",Broekweg 140,,1,-1,1,tegenover 140 en 97,"2,017",24,15/06/2017,v
"1,054",Broekweg midden,,1,-1,-1,midden op plein,"2,017",24,15/06/2017,v
"1,055",Broekweg cafe,,1,-1,-1,naast Cafe,"2,017",24,15/06/2017,v
"1,056",Broekweg 74,,1,-1,-1,tegenover 74 en 76,"2,017",24,15/06/2017,v
"1,010",Struyckstraat 2,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,006",Jacob v.d. Wintstraat 2,,1,-2,-2,achterzijde,"2,017",24,15/06/2017,v
"1,003",Groeneweg (terr. gemaal),,1,-2,-2,,"2,017",24,15/06/2017,v
"1,024",Markgraaflaan 6,,1,-2,-2,,"2,017",24,15/06/2017,v
"1,025",Groeneweg  32,,1,-2,-2,trottoir overzijde,"2,017",24,15/06/2017,v
"1,026",Burg Pruissingel 56,,0,-2,-2,,"2,017",24,15/06/2017,v
"1,023",HR Holststraat 19,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,022",Vondelstraat/Brederostraat 25,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,021",Vondelstraat/Huijgenstraat,,1,-1,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"1,013",Billitonlaan,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,040",Riouwlaan 74,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,001",Floreslaan/Broekweg 154,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,035",Van Heutzpark 22,,1,-1,-1,rijbaan,"2,017",24,15/06/2017,v
"1,034",Van Heutzpark 29,,1,-1,-1,trottoir,"2,017",24,15/06/2017,v
"1,038",Van Heutzpark 44,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,037",Van Heutzpark 6,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,036",Van Heutzpark 10,,1,0,-1,,"2,017",24,15/06/2017,v
"1,039",Van Heutzpark 1,,1,-1,-1,,"2,017",24,15/06/2017,v
"1,033",Curacaolaan 194,,1,-1,-1,fietspad,"2,017",24,15/06/2017,v
"1,004",Mendelssohnplein,,2,0,0,,"2,017",24,15/06/2017,v
"1,008",Richard Holstr. 63 (Pompput),auto,,-1,-1,,"2,017",24,15/06/2017,v
"3,018",Mozartlaan,,1,-1,-1,,"2,017",24,15/06/2017,v
"3,019",Orelioplantsoen,,2,0,0,,"2,017",24,15/06/2017,v
"3,020",Mendelsohnplein (oost),,2,0,0,maaiveld hoogte aangepast,"2,017",24,15/06/2017,v
"3,022",Sweelinckstraat,W.I.U,,0,,,"2,017",24,15/06/2017,v
"3,023",Verheystraat,,2,0,,,"2,017",24,15/06/2017,v
"3,024",van Beethovensingel,,3,2,2,,"2,017",24,15/06/2017,v
"3,003",PKD-straat 1,,1,0,0,,"2,017",24,15/06/2017,v
"7,014",Cipressendreef 1,,1,-2,-2,doorgang naast woning,"2,017",24,15/06/2017,v
"7,013",Cipressendreef 29,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,003",Platanendreef 166,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,008",Platanendreef 2,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,006",Hazelaardreef 17,,0,-2,-2,,"2,017",24,15/06/2017,v
"7,007",Lindendreef 81,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,001",Fluitekruid 67/74,,2,2,-2,achterzijde parkeerplaats,"2,017",24,15/06/2017,v
"7,004",Robert Schumanring,,1,-2,-2,,"2,017",24,15/06/2017,v
"6,006",Louise de Colignylaan 74,,1,-2,-2,trottoir overzijde,"2,017",24,15/06/2017,v
"6,008",Willem Lodewijklaan,,1,-2,-2,,"2,017",24,15/06/2017,v
"6,004",Gouverneurspad,,1,-2,-2,,"2,017",24,15/06/2017,v
"6,010",Baronielaan 5,,1,-2,-2,,"2,017",24,15/06/2017,v
"6,009",Pr. Beatrixlaan 9/11,,1,-2,-2,trottoir zijkant woning,"2,017",24,15/06/2017,v
"4,006",Emmastraat 22,,0,0,0,zijkant pand,"2,017",24,15/06/2017,v
"4,026",Hofsingel 14,,1,0,0,,"2,017",24,15/06/2017,v
"4,027",Hofsingel 50,,1,0,0,,"2,017",24,15/06/2017,v
"4,023",Oranjepark 010,,1,0,0,,"2,017",24,15/06/2017,v
"4,010",Parkweg,,1,0,0,hoek Beukestraat,"2,017",24,15/06/2017,v
"4,029",Binnensingel 1,,1,0,0,,"2,017",24,15/06/2017,v
"4,030",Hogelaan 22,,2,0,0,,"2,017",24,15/06/2017,v
"4,031",Eikestraat,,1,0,0,naast Emmaplein 1,"2,017",24,15/06/2017,v
"4,032",Emmaplein t.o. 17,,2,0,0,trottoir zuidzijde,"2,017",24,15/06/2017,v
"4,009",Schiedamseweg 111,2*auto,,0,0,,"2,017",24,15/06/2017,v
"4,001",Verploegh Chasseplein 7,,2,0,0,zijkant pand,"2,017",24,15/06/2017,v
"4,033",Schiedamseweg 96,,2,0,0,trottoir zuidzijde,"2,017",24,15/06/2017,v
"4,034",Schiedamseweg 120,,1,0,0,trottoir zuidzijde,"2,017",24,15/06/2017,v
"4,002",Boslaan 1,,1,0,0,Spoorsingel 107,"2,017",24,15/06/2017,v
"4,003",Binnensingel 205,,2,1,1,groenstook,"2,017",24,15/06/2017,v
"4,013",Spoorsingel,,2,0,1,TNO,"2,017",24,15/06/2017,v
"4,004",1e Van Leijden Gaelstraat 19,,2,0,1,zijkant pand,"2,017",24,15/06/2017,v
"4,012",Merwedehof 13,,1,0,0,,"2,017",24,15/06/2017,v
"2,022",Drs. Stijkelstraat 60, ,1,-2,-1,,"2,017",24,15/06/2017,v
"2,007",Prof. Rutgersstraat,,1,-1,-2,,"2,017",24,15/06/2017,v
"2,005",Coornhertstraat,,1,-2,-1,,"2,017",24,15/06/2017,v
"2,019",vossiusstraat,,1,-2,-2,garage to 190,"2,017",24,15/06/2017,v
"2,020",vossiusstraat naast 20,,1,-2,-2,,"2,017",24,15/06/2017,v
"2,021",van baerlestraat,,1,-2,-2,garage to 172,"2,017",24,15/06/2017,v
"2,004",Roemer Visscherstraat,,1,-2,-2,,"2,017",24,15/06/2017,v
"2,016",Frank v Borsselenstraat,,1,-1,-1,voor trap,"2,017",24,15/06/2017,v
"2,013",Boerhaavestraat.,plus,0,-2,-1,TNO,"2,017",24,15/06/2017,v
"2,003",s-Gravensandestraat 12,,1,-2,-2,,"2,017",24,15/06/2017,v
"2,001",Musschenbroekstraat 12,,1,-2,-2,,"2,017",24,15/06/2017,v
"2,002",Meijerstraat 16,,2,-1,-1,,"2,017",24,15/06/2017,v
"2,014",Van Boisotstraat,,1,-2,-2,,"2,017",24,15/06/2017,v
"2,015",Claudius Civiluslaan 33,,1,-1,-1,trottoir overzijde,"2,017",24,15/06/2017,v
"2,006",Rondom West,,1,-1,-1,,"2,017",24,15/06/2017,v
"5,006",Goudenregenstraat 18,,1,-1,-1,parkeerplaats t/o nr. 18,"2,017",24,15/06/2017,v
"5,004",vd Duijn V Maasdamlaan,,0,-2,-2,parkeerplaats naast hoge flat,"2,017",24,15/06/2017,v
"5,001",Hargapad Noord,wiu,,-1,-1,,"2,017",24,15/06/2017,v
"5,013",vd Duijnstraat 15,,1,-1,-1,,"2,017",24,15/06/2017,v
"5,003",Narcisplein 10,,2,-1,-1,overzijde in plantsoen,"2,017",24,15/06/2017,v
"5,008",Nachtegaallaan 9,,2,-1,-1,parkeerplaats midden straat,"2,017",24,15/06/2017,v
"5,012",Kethelweg 57,,1,-1,-1,,"2,017",24,15/06/2017,v
"5,010",Emous 6,,2,2,2,,"2,017",24,15/06/2017,v
"5,011",Emous 10,,1,2,2,,"2,017",24,15/06/2017,v
"5,009",Nassaulaan 117,,1,-1,-1,in speelplaats,"2,017",24,15/06/2017,v
"6,005",Tureluurstraat,,0,-2,-2,,"2,017",24,15/06/2017,v
"6,001",Eksterlaan,,1,-2,-2,,"2,017",24,15/06/2017,v
"6,002",Duifstraat 16,,2,-2,-1,,"2,017",24,15/06/2017,v
"6,003",Havikstraat 25,,2,-2,-2,,"2,017",24,15/06/2017,v
"6,007",Aalscholverlaan,,1,-2,-2,,"2,017",24,15/06/2017,v
"7,029",Madridweg (achterkant),,1,-2,-2,,"2,017",24,15/06/2017,v
"7,024",Kopenhagenlaan,,1,-1,-2,,"2,017",24,15/06/2017,v
"7,026",Zeelandlaan 5,,1,-2,-2,,"2,017",24,15/06/2017,v
"1,041",Veerplein 35a,,1,0,0,tegenover 35a - 95a,"2,017",21,28/05/2017,v
"1,042",Veerplein 29,,1,,,tegenover 29,"2,017",21,28/05/2017,v
"1,043",Veerplein 33,,1,0,0,tegenover 33,"2,017",21,28/05/2017,v
"1,044",Veerplein 132a,,1,0,0,tegenover 132a,"2,017",21,28/05/2017,v
"1,045",Veerplein 134a,,1,0,0,tegenover 134a,"2,017",21,28/05/2017,v
"1,046",Veerplein hema,,1,,,ingang hema,"2,017",21,28/05/2017,v
"1,051",Waalstraat,,1,0,,Stadhuis,"2,017",21,28/05/2017,v
"1,052",Waalstraat 63,,1,0,0,op de hoek,"2,017",21,28/05/2017,v
"1,053",Broekweg 140,,1,-1,1,tegenover 140 en 97,"2,017",21,28/05/2017,v
"1,054",Broekweg midden,,1,-1,-1,midden op plein,"2,017",21,28/05/2017,v
"1,055",Broekweg cafe,,1,-1,-1,naast Cafe,"2,017",21,28/05/2017,v
"1,056",Broekweg 74,,1,-1,-1,tegenover 74 en 76,"2,017",21,28/05/2017,v
"1,010",Struyckstraat 2,,1,-1,-1,,"2,017",21,28/05/2017,v
"1,006",Jacob v.d. Wintstraat 2,,1,-2,-2,achterzijde,"2,017",21,28/05/2017,v
"1,003",Groeneweg (terr. gemaal),,1,-2,-2,,"2,017",21,28/05/2017,v
"1,024",Markgraaflaan 6,,1,-2,-2,,"2,017",21,28/05/2017,v
"1,025",Groeneweg  32,,1,-2,-2,trottoir overzijde,"2,017",21,28/05/2017,v
"1,026",Burg Pruissingel 56,,0,-2,-2,,"2,017",21,28/05/2017,v
"3,022",Sweelinckstraat,wiu,,0,,,"2,017",21,28/05/2017,v
"3,023",Verheystraat,,2,0,,,"2,017",21,28/05/2017,v
"3,024",van Beethovensingel,,2,2,2,,"2,017",21,28/05/2017,v
"3,003",PKD-straat 1,,1,0,0,,"2,017",21,28/05/2017,v
"3,004",PKD-straat 67,,1,0,0,,"2,017",21,28/05/2017,v
"3,005",PKD-straat 199,,1,0,0,,"2,017",21,28/05/2017,v
"3,006",Pr. Hendrikstraat 124,,1,1,1,,"2,017",21,28/05/2017,v
"3,007",Pr. Hendrikstraat 34,,1,1,1,,"2,017",21,28/05/2017,v
"3,008",Pr. Hendrikstraat 2,,1,1,1,,"2,017",21,28/05/2017,v
"3,001",Galgkade,,2,3,3,gemaal,"2,017",21,28/05/2017,v
"3,012",Mercuriusstraat 15c,,1,0,0,,"2,017",21,28/05/2017,v
"3,013",Edisonstraat 7,,1,-1,-1,in trottoir,"2,017",21,28/05/2017,v
"3,017",James Wattweg (zuid),,1,0,-1,,"2,017",21,28/05/2017,v
"3,009",Maassluissedijk PB1,,2,4,4,,"2,017",21,28/05/2017,v
"3,010",Maassluissedijk PB2,,5,4,4,,"2,017",21,28/05/2017,v
"3,011",Maassluissedijk PB Oud,,3,4,5,,"2,017",21,28/05/2017,v
"3,002",Hoekerstraat 11,,0,4,4,,"2,017",21,28/05/2017,v
