"regi_n","otros_territorios","pa_s","localizaci_n","exige_visa_corta_duraci_n","exige_visa_a_pasaporte_de_servicio","exige_visa_a_pasaporte_oficial","exige_visa_a_pasaporte_diplom_tico","condiciones_especiales"
"EUROPA OCCIDENTAL","NO","FRANCIA","
,  
(46.227638, 2.213749)","NO","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","MÉXICO","
,  
(23.634501, -102.552784)","NO","NO","NO","NO","(N/A)"
"ISLAS PACIFICO","NO","ISLAS SALOMÓN","
,  
(-9.64571, 160.156194)","NO","NO","NO","NO","(N/A)"
"ISLAS PACÍFICO","NO","PALAU","
,  
(7.51498, 134.58252)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA ORIENTAL","NO","ERITREA","
,  
(15.179384, 39.782334)","SI","SI","SI","SI","(N/A)"
"ÁFRICA CENTRAL","NO","SUDÁN","
,  
(12.862807, 30.217636)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL SUR","NO","COMORAS","
,  
(-11.875001, 43.872219)","SI","SI","SI","SI","(N/A)"
"AMÉRICA CARIBE","NO","SANTA LUCÍA","
,  
(13.909444, -60.978893)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","ARABIA SAUDITA","
,  
(23.885942, 45.079162)","SI","SI","SI","SI","(N/A)"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM","
,  
(4.535277, 114.727669)","NO","NO","NO","NO","(N/A)"
"AFRICA ORIENTAL","NO","KENYA","
,  
(-0.023559, 37.906193)","SI","SI","SI","SI","(N/A)"
"EURASIA","NO","GEORGIA","
,  
(42.315407, 43.356892)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","MAURITANIA","
,  
(21.00789, -10.940835)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","GHANA","
,  
(7.946527, -1.023194)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","RUMANIA","
,  
(45.943161, 24.96676)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA ORIENTAL","NO","MOLDAVIA","
,  
(47.411631, 28.369885)","NO","SI","SI","SI","(N/A)"
"OCEANIA","NO","AUSTRALIA","
,  
(-25.274398, 133.775136)","NO","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","LIECHTENSTEIN","
,  
(47.166, 9.555373)","NO","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","IRAQ","
,  
(33.223191, 43.679291)","SI","SI","SI","SI","(N/A)"
"SUDESTE ASIATICO","NO","CAMBOYA","
,  
(12.565679, 104.990963)","SI, CONDICIONES ESPECIALES","NO","NO","NO","NO EXIGE VISA A TITULARES DE VISA O RESIDENCIA DE EE UU O SCHENGEN CON VIGENCIA MÍNIMA DE 180 DÍAS"
"AMERICA CARIBE","NO","BAHAMAS","
,  
(25.03428, -77.39628)","NO","NO","NO","NO","(N/A)"
"ISLAS PACIFICO","NO","NAURU","
,  
(-0.522778, 166.931503)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","GAMBIA","
,  
(13.443182, -15.310139)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","PORTUGAL","
,  
(39.399872, -8.224454)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ASIA CENTRAL","NO","AFGANISTÁN","
,  
(33.93911, 67.709953)","SI","SI","SI","SI","(N/A)"
"AFRICA DEL SUR","NO","NAMIBIA","
,  
(-22.95764, 18.49041)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","SUECIA","
,  
(60.128161, 18.643501)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","IRLANDA","
,  
(53.41291, -8.24389)","NO","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","ANDORRA","
,  
(42.546245, 1.601554)","NO","NO","NO","NO","(N/A)"
"ÁFRICA ORIENTAL","NO","SOMALIA","
,  
(5.152149, 46.199616)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","SAN MARINO","
,  
(43.94236, 12.457777)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA ORIENTAL","NO","ALBANIA","
,  
(41.153332, 20.168331)","NO","SI","SI","SI","(N/A)"
"ASIA DEL SUR","NO","SRI LANKA","
,  
(7.873054, 80.771797)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA ORIENTAL","NO","LITUANIA","
,  
(55.169438, 23.881275)","NO","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","QATAR","
,  
(25.354826, 51.183884)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA ORIENTAL","NO","SERBIA","
,  
(44.016521, 21.005859)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA ORIENTAL","NO","GRECIA","
,  
(39.074208, 21.824312)","NO","NO","NO","NO","(N/A)"
"SUDESTE ASIATICO","NO","LAOS REPÚBLICA DEMOCRÁTICA P","
,  
(19.85627, 102.495496)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","POLONIA","
,  
(51.919438, 19.145136)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ASIA DEL SUR","NO","PAKISTÁN","
,  
(30.375321, 69.345116)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","CHECA REPÚBLICA","
,  
(49.817492, 15.472962)","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA","
,  
(17.060816, -61.796428)","NO","NO","NO","NO","(N/A)"
"ASIA DEL SUR","NO","NEPAL","
,  
(28.394857, 84.124008)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","HUNGRÍA","
,  
(47.162494, 19.503304)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AMÉRICA CENTRAL","NO","PANAMÁ","
,  
(8.537981, -80.782127)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AMERICA CARIBE","NO","DOMINICA","
,  
(15.414999, -61.370976)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU","
,  
(11.803749, -15.180413)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE","
,  
(55.378051, -3.435973)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","SANTA SEDE","
,  
(41.902916, 12.453389)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","JORDANIA","
,  
(30.585164, 36.238414)","SI","SI","SI","SI","(N/A)"
"AMERICA DEL SUR","NO","BRASIL","
,  
(-14.235004, -51.92528)","NO","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","HAITÍ","
,  
(18.971187, -72.285215)","SI","SI","SI","SI","(N/A)"
"ÁFRICA OCCIDENTAL","NO","SIERRA LEONA","
,  
(8.460555, -11.779889)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","ISRAEL","
,  
(31.046051, 34.851612)","NO","NO","NO","NO","(N/A)"
"AMÉRICA CARIBE","NO","SAN CRISTÓBAL Y NIEVES","
,  
(17.357822, -62.782998)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL SUR","NO","MALAWI","
,  
(-13.254308, 34.301525)","SI","SI","SI","SI","(N/A)"
"AMERICA CARIBE","NO","GRENADA","
,  
(12.262776, -61.604171)","NO","NO","NO","NO","(N/A)"
"ISLAS PACIFICO","NO","ISLAS MARSHALL","
,  
(7.131474, 171.184478)","NO","NO","NO","NO","(N/A)"
"ASIA DEL SUR","NO","MALDIVAS","
,  
(3.202778, 73.22068)","SI","SI","SI","SI","(N/A)"
"ASIA DEL ESTE","NO","MONGOLIA","
,  
(46.862496, 103.846656)","SI","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA DEL NORTE","NO","ARGELIA","
,  
(28.033886, 1.659626)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ASIA DEL SUR","NO","BANGLADESH","
,  
(23.684994, 90.356331)","SI","SI","SI","SI","(N/A)"
"AFRICA DEL NORTE","NO","EGIPTO","
,  
(26.820553, 30.802498)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EUROPA ORIENTAL","NO","ESTONIA","
,  
(58.595272, 25.013607)","NO","NO","NO","NO, ACUERDO ESPECIAL","(N/A)"
"AMERICA DEL SUR","NO","BOLIVIA","
,  
(-16.290154, -63.588653)","NO","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","BARBADOS","
,  
(13.193887, -59.543198)","NO","NO","NO","NO","(N/A)"
"SUDESTE ASIATICO","NO","INDONESIA","
,  
(-0.789275, 113.921327)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ÁFRICA DEL SUR","NO","SUDÁFRICA","
,  
(-30.559482, 22.937506)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA NORDICA","NO","DINAMARCA","
,  
(56.26392, 9.501785)","NO","NO","NO","NO","(N/A)"
"OCEANIA","NO","FIJI","
,  
(-16.578193, 179.414413)","NO","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","ESLOVENIA","
,  
(46.151241, 14.995463)","NO","NO","NO","NO","(N/A)"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AMÉRICA","
,  
(37.09024, -95.712891)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","BURKINA FASO","
,  
(12.238333, -1.561593)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","ESPAÑA","
,  
(40.463667, -3.74922)","NO","NO","NO","NO","(N/A)"
"ÁFRICA CENTRAL","NO","REPÚBLICA CENTROAFRICANA","
,  
(6.611111, 20.939444)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL SUR","NO","MAURICIO","
,  
(-20.348404, 57.552152)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","ALEMANIA","
,  
(51.165691, 10.451526)","NO","NO","NO","NO","(N/A)"
"EURASIA","NO","RUSIA (FEDERACIÓN DE)","
,  
(0.0, 0.0)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ASIA DEL SUR","NO","INDIA","
,  
(20.593684, 78.96288)","SI, CONDICIONES ESPECIALES","SI, CONDICIONES ESPECIALES","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO EXIGE PARA TITULARES DE VISA O RESIDENCIA DE EE UU O SCHENGEN CON VIGENCIA MÍNIMA DE 180 DÍAS"
"EURASIA","NO","AZERBAIYÁN","
,  
(40.143105, 47.576927)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ORIENTE MEDIO","NO","SIRIA","
,  
(34.802075, 38.996815)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ASIA DEL SUR","NO","BUTÁN","
,  
(27.514162, 90.433601)","NO","NO","NO","NO","(N/A)"
"EUROPA ORIENTAL","NO","MONTENEGRO","
,  
(42.708678, 19.37439)","NO","NO","NO","NO","(N/A)"
"AFRICA DEL SUR","NO","MADAGASCAR","
,  
(-18.766947, 46.869107)","SI","SI","SI","SI","(N/A)"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA","
,  
(43.915886, 17.679076)","NO","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","ITALIA","
,  
(41.87194, 12.56738)","NO","NO","NO","NO","(N/A)"
"AFRICA CENTRAL","NO","GABÓN","
,  
(-0.803689, 11.609444)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","LUXEMBURGO","
,  
(49.815273, 6.129583)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","NÍGER","
,  
(17.607789, 8.081666)","SI","SI","SI","SI","(N/A)"
"SUDESTE ASIATICO","NO","MALASIA","
,  
(4.210484, 101.975766)","SI","NO","NO","NO","(N/A)"
"EUROPA NORDICA","NO","FINLANDIA","
,  
(61.92411, 25.748151)","NO","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","BELICE","
,  
(17.189877, -88.49765)","NO","NO","NO","NO","(N/A)"
"AMERICA DEL SUR","NO","ECUADOR","
,  
(-1.831239, -78.183406)","NO","NO","NO","NO","(N/A)"
"AMERICA DEL SUR","NO","CHILE","
,  
(-35.675147, -71.542969)","NO","NO","NO","NO","(N/A)"
"ASIA DEL ESTE","NO","COREA REPÚBLICA","
,  
(35.907757, 127.766922)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","BENIN","
,  
(9.30769, 2.315834)","SI","SI","SI","SI","(N/A)"
"AMÉRICA DEL SUR","NO","PERÚ","
,  
(-9.189967, -75.015152)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AMERICA DEL SUR","NO","ARGENTINA","
,  
(-38.416097, -63.616672)","NO","NO","NO","NO","(N/A)"
"AFRICA DEL NORTE","NO","MARRUECOS","
,  
(31.791702, -7.09262)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EUROPA ORIENTAL","NO","KOSOVO","
,  
(42.667542, 21.166191)","SI","SI","SI","SI","(N/A)"
"ÁFRICA CENTRAL","NO","SUDÁN DEL SUR","
,  
(0.0, 0.0)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EURASIA","NO","BIELORRUSIA","
,  
(53.709807, 27.953389)","SI","SI","SI","SI","(N/A)"
"AMÉRICA DEL SUR","NO","PARAGUAY","
,  
(-23.442503, -58.443832)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"SUDESTE ASIATICO","NO","MYANMAR","
,  
(21.913965, 95.956223)","SI, CONDICIONES ESPECIALES","NO","NO","NO","NO EXIGE PARA TITULARES DE VISA O RESIDENCIA DE EE UU O SCHENGEN CON VIGENCIA MÍNIMA DE 180 DÍAS"
"ORIENTE MEDIO","NO","OMÁN","
,  
(21.512583, 55.923255)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AMERICA CENTRAL","NO","GUATEMALA","
,  
(15.783471, -90.230759)","NO","NO","NO","NO","(N/A)"
"OCEANÍA","NO","NUEVA ZELANDA","
,  
(-40.900557, 174.885971)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","LÍBANO","
,  
(33.854721, 35.862285)","SI","NO","NO","NO","(N/A)"
"ASIA CENTRAL","NO","KAZAJSTÁN","
,  
(48.019573, 66.923684)","NO","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","BÉLGICA","
,  
(50.503887, 4.469936)","NO","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","COSTA RICA","
,  
(9.748917, -83.753428)","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ORIENTE MEDIO","NO","EMIRATOS ÁRABES UNIDOS","
,  
(23.424076, 53.847818)","NO","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","CUBA","
,  
(21.521757, -77.781167)","SI","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA DEL SUR","NO","BOTSUANA","
,  
(-22.328474, 24.684866)","SI","SI","SI","SI","(N/A)"
"AMERICA CENTRAL","NO","HONDURAS","
,  
(15.199999, -86.241905)","NO","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","JAMAICA","
,  
(18.109581, -77.297508)","NO","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","CROACIA","
,  
(45.1, 15.2)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ASIA DEL ESTE","NO","CHINA REPÚBLICA POPULAR","
,  
(35.86166, 104.195397)","SI, CONDICIONES ESPECIALES","SI, CONDICIONES ESPECIALES","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO EXIGE VISA A TITULARES DE VISA O RESIDENCIA DE EE UU O SCHENGEN CON VIGENCIA MÍNIMA DE 180 DÍAS"
"ÁFRICA OCCIDENTAL","NO","SENEGAL","
,  
(14.497401, -14.452362)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ÁFRICA DEL SUR","NO","SEYCHELLES","
,  
(-4.679574, 55.491977)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA CENTRAL","NO","BURUNDI","
,  
(-3.373056, 29.918886)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","AUSTRIA","
,  
(47.516231, 14.550072)","NO","NO","NO","NO","(N/A)"
"ASIA DEL ESTE","NO","FILIPINAS","
,  
(12.879721, 121.774017)","NO","NO","NO","NO","(N/A)"
"AFRICA CENTRAL","NO","CONGO","
,  
(-0.228021, 15.827659)","SI","SI","SI","SI","(N/A)"
"AMÉRICA CARIBE","NO","SAN VICENTE Y LAS GRANADINAS","
,  
(12.984305, -61.287228)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"SUDESTE ASIÁTICO","NO","SINGAPUR","
,  
(1.352083, 103.819836)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","BULGARIA","
,  
(42.733883, 25.48583)","NO","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","BAHRÉIN","
,  
(25.930414, 50.637772)","SI","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","CONGO REPÚBLICA DEMOCRÁTICA","
,  
(-4.038333, 21.758664)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","ESLOVAQUIA","
,  
(48.669026, 19.699024)","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"OCEANÍA","NO","PAPUA NUEVA GUINEA","
,  
(-6.314993, 143.95555)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL NORTE","NO","LIBIA","
,  
(26.3351, 17.228331)","SI","SI","SI","SI","(N/A)"
"EUROPA NORDICA","NO","ISLANDIA","
,  
(64.963051, -19.020835)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","CABO VERDE","
,  
(16.002082, -24.013197)","SI","SI","SI","SI","(N/A)"
"AFRICA ORIENTAL","NO","DJIBOUTI","
,  
(11.825138, 42.590275)","SI","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","CHAD","
,  
(15.454166, 18.732207)","SI","SI","SI","SI","(N/A)"
"AMERICA DEL NORTE","NO","CANADÁ","
,  
(56.130366, -106.346771)","NO","NO","NO","NO","(N/A)"
"AMÉRICA CARIBE","NO","REPÚBLICA DOMINICANA","
,  
(18.735693, -70.162651)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ASIA CENTRAL","NO","KIRGUISTÁN","
,  
(41.20438, 74.766098)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","PAÍSES BAJOS","
,  
(52.132633, 5.291266)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL SUR","NO","MOZAMBIQUE","
,  
(-18.665695, 35.529562)","SI","SI","SI","SI","(N/A)"
"ISLAS PACIFICO","NO","MICRONESIA","
,  
(7.425554, 150.550812)","NO","NO","NO","NO","(N/A)"
"EUROPA ORIENTAL","NO","LETONIA","
,  
(56.879635, 24.603189)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","LIBERIA","
,  
(6.428055, -9.429499)","SI","SI","SI","SI","(N/A)"
"ASIA DEL ESTE","NO","COREA REPÚBLICA POPULAR DEM.","
,  
(40.339852, 127.510093)","SI","SI","SI","SI","(N/A)"
"ISLAS PACIFICO","NO","KIRIBATI","
,  
(-3.370417, -168.734039)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","NIGERIA","
,  
(9.081999, 8.675277)","SI","SI","SI","SI","(N/A)"
"ÁFRICA CENTRAL","NO","RUANDA","
,  
(-1.940278, 29.873888)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EURASIA","NO","ARMENIA","
,  
(40.069099, 45.038189)","SI","SI","SI","SI","(N/A)"
"ÁFRICA ORIENTAL","NO","SOMALIA","
,  
(5.152149, 46.199616)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AMERICA CENTRAL","NO","NICARAGUA","
,  
(12.865416, -85.207229)","SI, CONDICIONES ESPECIALES","SI, CONDICIONES ESPECIALES","SI, CONDICIONES ESPECIALES","SI, CONDICIONES ESPECIALES","PARA NICARAGÜENSES QUE ACREDITEN SER NATURALES DE LA REGIÓN AUTÓNOMA DE LA COSTA CARIBE NORTE Y DE LA REGIÓN AUTÓNOMA DE LA COSTA CARIBE SUR. PARA TITULARES DE VISA O RESIDENCIA DE EE UU, SHENGEN O CANADÁ CON VIGENCIA MÍNIMA DE 180 DÍAS"
"ASIA DEL ESTE","NO","JAPÓN","
,  
(36.204824, 138.252924)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA DEL SUR","NO","ANGOLA","
,  
(-11.202692, 17.873887)","SI","SI","SI","SI","(N/A)"
"AMERICA CENTRAL","NO","EL SALVADOR","
,  
(13.794185, -88.89653)","NO","NO","NO","NO","(N/A)"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL","
,  
(1.650801, 10.267895)","SI","SI","SI","SI","(N/A)"
"ORIENTE MEDIO","NO","KUWAIT","
,  
(29.31166, 47.481766)","SI","SI","SI","SI","(N/A)"
"AMERICA DEL SUR","NO","GUYANA","
,  
(4.860416, -58.93018)","NO","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA DEL SUR","NO","LESOTHO","
,  
(-29.609988, 28.233608)","SI","SI","SI","SI","(N/A)"
"ISLAS PACÍFICO","NO","SAMOA","
,  
(-13.759029, -172.104629)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","IRÁN","
,  
(32.427908, 53.688046)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL","
,  
(7.539989, -5.54708)","SI","SI","SI","SI","(N/A)"
"EUROPA ORIENTAL","NO","MACEDONIA","
,  
(41.608635, 21.745275)","SI","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","CAMERÚN","
,  
(7.369722, 12.354722)","SI","SI","SI","SI","(N/A)"
"EURASIA","NO","CHIPRE","
,  
(35.126413, 33.429859)","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EUROPA","NO","NORUEGA","
,  
(60.472024, 8.468946)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","MALTA","
,  
(35.937496, 14.375416)","NO","NO","NO","NO","(N/A)"
"ÁFRICA OCCIDENTAL","NO","SANTO TOMÉ Y PRÍNCIPE","
,  
(0.18636, 6.613081)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EUROPA OCCIDENTAL","NO","MÓNACO","
,  
(43.750298, 7.412841)","NO","NO","NO","NO","(N/A)"
"AFRICA ORIENTAL","NO","ETIOPÍA","
,  
(9.145, 40.489673)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","MALÍ","
,  
(17.570692, -3.996166)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","GUINEA","
,  
(9.945587, -9.696645)","SI","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","FRANCIA","
,  
(46.227638, 2.213749)","NO","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","MÉXICO","
,  
(23.634501, -102.552784)","NO","NO","NO","NO","(N/A)"
"ISLAS PACIFICO","NO","ISLAS SALOMÓN","
,  
(-9.64571, 160.156194)","NO","NO","NO","NO","(N/A)"
"ISLAS PACÍFICO","NO","PALAU","
,  
(7.51498, 134.58252)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA ORIENTAL","NO","ERITREA","
,  
(15.179384, 39.782334)","SI","SI","SI","SI","(N/A)"
"ÁFRICA CENTRAL","NO","SUDÁN","
,  
(12.862807, 30.217636)","SI","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"AFRICA DEL SUR","NO","COMORAS","
,  
(-11.875001, 43.872219)","SI","SI","SI","SI","(N/A)"
"AMÉRICA CARIBE","NO","SANTA LUCÍA","
,  
(13.909444, -60.978893)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"ORIENTE MEDIO","NO","ARABIA SAUDITA","
,  
(23.885942, 45.079162)","SI","SI","SI","SI","(N/A)"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM","
,  
(4.535277, 114.727669)","NO","NO","NO","NO","(N/A)"
"AFRICA ORIENTAL","NO","KENYA","
,  
(-0.023559, 37.906193)","SI","SI","SI","SI","(N/A)"
"EURASIA","NO","GEORGIA","
,  
(42.315407, 43.356892)","NO","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","MAURITANIA","
,  
(21.00789, -10.940835)","SI","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","GHANA","
,  
(7.946527, -1.023194)","SI","SI","SI","SI","(N/A)"
"EUROPA","NO","RUMANIA","
,  
(45.943161, 24.96676)","NO","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
